Schema,Tipo_Objeto,Nombre,Prioridad,Tamano_Bytes,Lineas,Dependencias,Ruta_Origen,Ruta_Destino
"auth_management","INDEX","IF","MEDIA",950,27,4,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/auth_management/indexes/01-idx_user_roles_permissions_gin.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/index/01-idx_user_roles_permissions_gin.sql"
"auth_management","INDEX","CONCURRENTLY","MEDIA",4077,125,10,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/auth_management/indexes/01-user_sessions_indexes.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/index/01-user_sessions_indexes.sql"
"content_management","UNKNOWN","None","MEDIA",879,17,0,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/content_management/rls-policies/01-enable-rls.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/content_management/rls-policy/01-enable-rls.sql"
"content_management","RLS POLICY","marie_content_all_admin","MEDIA",4747,119,6,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/content_management/rls-policies/02-policies.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/content_management/rls-policy/02-policies.sql"
"content_management","UNKNOWN","None","MEDIA",1119,25,0,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/content_management/rls-policies/03-grants.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/content_management/rls-policy/03-grants.sql"
"gamification_system","INDEX","IF","MEDIA",1225,25,1,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/gamification_system/indexes/02-achievement_categories_indexes.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/index/02-achievement_categories_indexes.sql"
"gamification_system","INDEX","IF","MEDIA",1756,37,3,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/gamification_system/indexes/03-active_boosts_indexes.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/index/03-active_boosts_indexes.sql"
"gamification_system","INDEX","CONCURRENTLY","MEDIA",2055,56,7,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/gamification_system/indexes/03-notifications_indexes.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/index/03-notifications_indexes.sql"
"gamification_system","INDEX","IF","MEDIA",2130,39,5,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/gamification_system/indexes/04-inventory_transactions_indexes.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/index/04-inventory_transactions_indexes.sql"
"gamification_system","UNKNOWN","None","MEDIA",6931,192,10,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/gamification_system/materialized-views/99-refresh-schedule.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/materialized-view/99-refresh-schedule.sql"
"gamilit","FUNCTION","gamilit.is_super_admin","MEDIA",633,22,2,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/gamilit/functions/06-is_super_admin.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamilit/function/06-is_super_admin.sql"
"gamilit","FUNCTION","gamilit.now_mexico","MEDIA",638,20,2,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/gamilit/functions/06-now_mexico.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamilit/function/06-now_mexico.sql"
"gamilit","FUNCTION","gamilit.update_classroom_member_count","MEDIA",994,33,2,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/gamilit/functions/07-update_classroom_member_count.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamilit/function/07-update_classroom_member_count.sql"
"progress_tracking","INDEX","IF","MEDIA",2187,42,2,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/progress_tracking/indexes/01-scheduled_missions_indexes.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/progress_tracking/index/01-scheduled_missions_indexes.sql"
"progress_tracking","FUNCTION","progress_tracking.update_exercise_submissions_updated_at","MEDIA",487,18,1,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/progress_tracking/functions/03-update_exercise_submissions_updated_at.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/progress_tracking/function/03-update_exercise_submissions_updated_at.sql"
"social_features","FUNCTION","social_features.cleanup_old_notifications","MEDIA",1299,42,5,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/social_features/functions/01-cleanup_old_notifications.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/social_features/function/01-cleanup_old_notifications.sql"
"social_features","INDEX","CONCURRENTLY","MEDIA",3717,109,10,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/social_features/indexes/01-friendships_indexes.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/social_features/index/01-friendships_indexes.sql"
"social_features","INDEX","CONCURRENTLY","MEDIA",2975,93,8,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/social_features/indexes/02-classroom_members_indexes.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/social_features/index/02-classroom_members_indexes.sql"
"social_features","INDEX","CONCURRENTLY","MEDIA",2963,100,8,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/social_features/indexes/03-schools_indexes.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/social_features/index/03-schools_indexes.sql"
"system_configuration","UNKNOWN","None","MEDIA",703,15,0,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/system_configuration/rls-policies/01-enable-rls.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/system_configuration/rls-policy/01-enable-rls.sql"
"system_configuration","RLS POLICY","system_settings_all_admin","MEDIA",2934,70,4,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/system_configuration/rls-policies/02-policies.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/system_configuration/rls-policy/02-policies.sql"
