Schema,Tabla,Frecuencia,Num Documentos
resultRepo,create,1,1
this,determineLevelFromScore,1,1
DIFFICULTY_ORDER,indexOf,1,1
progressRepo,createQueryBuilder,1,1
submitTestMutation,mutate,1,1
service,getUserProgress,1,1
exerciseService,getExercise,1,1
id,toUpperCase,1,1
educational_content,lessons,1,1
educational_content,validate_exercise_structure,1,1
validator,validate,1,1
eventEmitter,emit,1,1
this,getRankMultiplier,1,1
this,normalize,1,1
userPairs,find,1,1
acceptableAnswers,includes,1,1
ExerciseValidatorFactory,create,1,1
text,toLowerCase,1,1
this,getUserRank,1,1
exerciseService,getHint,1,1
this,updateUserStats,1,1
this,checkAccess,1,1
this,recordAttempt,1,1
BLOOM_OPTIONS,map,1,1
profile,every,1,1
cognitiveService,getRecommendedExercises,1,1
weakLevels,map,1,1
cognitiveAnalyticsService,updateCognitivePerformance,1,1
this,calculateCategoryRate,1,1
achievements,sql,1,1
educational_content,cognitive_level_distribution,1,1
progress_tracking,get_cognitive_profile,1,1
service,getCognitiveProfile,1,1
selected,filter,1,1
selected,includes,1,1
progress_tracking,get_weak_cognitive_levels,1,1
query,mockResolvedValueOnce,1,1
profile,find,1,1
unlockedAchievements,push,1,1
this,getWeakCognitiveLevels,1,1
categoryLevels,reduce,1,1
cognitiveService,checkCognitiveAchievements,1,1
progress_tracking,update_cognitive_performance,1,1
jest,spyOn,1,1
service,checkCognitiveAchievements,1,1
service,getWeakCognitiveLevels,1,1
cognitiveService,getWeakCognitiveLevels,1,1
this,getCognitiveProfile,1,1
educational_content,difficulty_parameters,1,1
educational_content,difficulty_level,1,1
this,validateAnswer,1,1
educational_content,cognitive_level,1,1
cognitiveRepo,findOne,1,1
hots,reduce,1,1
cognitiveRepo,find,1,1
lots,reduce,1,1
this,calculateHOTSRate,1,1
this,calculateLOTSRate,1,1
this,getStatusLabel,1,1
cognitiveRepo,save,1,1
pairs,map,1,1
pairs,some,1,1
rightColumn,map,1,1
pairs,filter,1,1
leftColumn,find,1,1
leftColumn,map,1,1
correctPairs,every,1,1
rightColumn,find,1,1
MultipleChoiceActivity,tsx,1,1
activitiesService,ts,1,1
this,getCorrectAnswer,1,1
options,find,1,1
ActivitiesService,submitAnswer,1,1
this,validateMultipleChoice,1,1
attemptsRepository,save,1,1
this,getActivity,1,1
ActivitiesService,getActivity,1,1
blanks,every,1,1
FillBlankActivity,tsx,1,1
text,split,1,1
parts,map,1,1
accepted,toLowerCase,1,1
acceptedAnswers,some,1,1
moduleProgressRepository,save,1,1
completedActivityIds,has,1,1
modulesService,completeModule,1,1
attemptsRepository,find,1,1
completedAttempts,map,1,1
gamificationService,awardBadge,1,1
activitiesRepository,find,1,1
Object,keys,1,1
dropZones,map,1,1
correctItemIds,includes,1,1
draggableItems,every,1,1
dropZones,find,1,1
items,map,1,1
items,findIndex,1,1
TrueFalseActivity,tsx,1,1
analyticsService,getStudentProfile,1,1
this,calculateModuleProgress,1,1
teacherAnalyticsApi,getStudentProfile,1,1
this,getStudentRecentActivities,1,1
this,validateTeacherAccessToStudent,1,1
this,getStudentBasicProfile,1,1
this,getModuleStatus,1,1
assignedModules,map,1,1
this,getStudentTimeMetrics,1,1
this,getStudentLastActivityDate,1,1
this,countModulesIncomplete,1,1
analyzedStudents,filter,1,1
this,calculateRiskSummary,1,1
filteredStudents,sort,1,1
this,analyzeStudentRisk,1,1
this,calculateClassAverageProgress,1,1
analyticsService,getAtRiskStudents,1,1
this,getStudentProgress,1,1
this,countModulesNotStarted,1,1
this,calculateRiskLevel,1,1
this,getStudentLastActivity,1,1
order,toUpperCase,1,1
teacherAnalyticsApi,getStudents,1,1
queryBuilder,orderBy,1,1
student,name,1,1
StudentListTable,tsx,1,1
queryBuilder,skip,1,1
this,mapSortField,1,1
this,mapStudentToDto,1,1
queryBuilder,getManyAndCount,1,1
analyticsService,getClassroomStudents,1,1
queryBuilder,where,1,1
contentDisposition,split,1,1
res,setHeader,1,1
csvLines,push,1,1
URL,createObjectURL,1,1
a,remove,1,1
this,getProgressReport,1,1
this,calculateModuleProgressStats,1,1
body,appendChild,1,1
moduleName,localeCompare,1,1
URL,revokeObjectURL,1,1
csvLines,join,1,1
overallProgress,toFixed,1,1
moduleProgress,sort,1,1
headers,get,1,1
res,send,1,1
document,createElement,1,1
analyticsService,getProgressReport,1,1
a,click,1,1
analyticsService,exportProgressReportCSV,1,1
this,generateFilename,1,1
moduleProgress,forEach,1,1
classroomService,findById,1,1
this,calculateSummary,1,1
response,blob,1,1
this,calculateDateRange,1,1
analyticsService,getActivityFeed,1,1
this,getActivityStats,1,1
this,getActivityByDay,1,1
this,mapActivityLog,1,1
