obj_id,layer,module,type,name,path
OBJ-DB-GAM-TRG-ACTIVE-BOOSTS,DB,GAM,trigger,active_boosts,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/tables/11-active_boosts.sql
OBJ-DB-GAM-IDX-INVENTORY-TRANSACTIONS,DB,GAM,index,inventory_transactions,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/tables/12-inventory_transactions.sql
OBJ-DB-GAM-TRG-MAYA-RANKS,DB,GAM,trigger,maya_ranks,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/tables/13-maya_ranks.sql
OBJ-DB-GAM-TRG-TRG-ACHIEVEMENTS-UPDATED-AT,DB,GAM,trigger,trg_achievements_updated_at,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/triggers/15-trg_achievements_updated_at.sql
OBJ-DB-GAM-TRG-TRG-COMODINES-INVENTORY-UPDATED-AT,DB,GAM,trigger,trg_comodines_inventory_updated_at,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/triggers/16-trg_comodines_inventory_updated_at.sql
OBJ-DB-GAM-TRG-MISSIONS-UPDATED-AT,DB,GAM,trigger,missions_updated_at,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/triggers/17-missions_updated_at.sql
OBJ-DB-GAM-TRG-NOTIFICATIONS-UPDATED-AT,DB,GAM,trigger,notifications_updated_at,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/triggers/18-notifications_updated_at.sql
OBJ-DB-GAM-TRG-TRG-RECALCULATE-LEVEL-ON-XP-CHANGE,DB,GAM,trigger,trg_recalculate_level_on_xp_change,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/triggers/18-trg_recalculate_level_on_xp_change.sql
OBJ-DB-GAM-TRG-TRG-USER-RANKS-UPDATED-AT,DB,GAM,trigger,trg_user_ranks_updated_at,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/triggers/19-trg_user_ranks_updated_at.sql
OBJ-DB-GAM-TRG-TRG-USER-STATS-UPDATED-AT,DB,GAM,trigger,trg_user_stats_updated_at,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/triggers/20-trg_user_stats_updated_at.sql
OBJ-DB-GAM-MATE-LEADERBOARD-COINS,DB,GAM,materialized_view,leaderboard_coins,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/views/01-leaderboard_coins.sql
OBJ-DB-GAM-MATE-LEADERBOARD-GLOBAL,DB,GAM,materialized_view,leaderboard_global,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/views/02-leaderboard_global.sql
OBJ-DB-GAM-MATE-LEADERBOARD-STREAKS,DB,GAM,materialized_view,leaderboard_streaks,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/views/03-leaderboard_streaks.sql
OBJ-DB-GAM-MATE-LEADERBOARD-XP,DB,GAM,materialized_view,leaderboard_xp,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/views/04-leaderboard_xp.sql
OBJ-BE-GAM-CTRL-ACHIEVEMENTS-CONTROLLER,BE,GAM,controller,achievements.controller,gamification/controllers/achievements.controller.ts
OBJ-BE-GAM-CTRL-LEADERBOARD-CONTROLLER,BE,GAM,controller,leaderboard.controller,gamification/controllers/leaderboard.controller.ts
OBJ-BE-GAM-CTRL-ML-COINS-CONTROLLER,BE,GAM,controller,ml-coins.controller,gamification/controllers/ml-coins.controller.ts
OBJ-BE-GAM-CTRL-RANKS-CONTROLLER,BE,GAM,controller,ranks.controller,gamification/controllers/ranks.controller.ts
OBJ-BE-GAM-CTRL-USER-STATS-CONTROLLER,BE,GAM,controller,user-stats.controller,gamification/controllers/user-stats.controller.ts
OBJ-BE-GAM-SVC-ACHIEVEMENTS-SERVICE,BE,GAM,service,achievements.service,gamification/services/achievements.service.ts
OBJ-BE-GAM-SVC-LEADERBOARD-SERVICE,BE,GAM,service,leaderboard.service,gamification/services/leaderboard.service.ts
OBJ-BE-GAM-SVC-ML-COINS-SERVICE,BE,GAM,service,ml-coins.service,gamification/services/ml-coins.service.ts
OBJ-BE-GAM-SVC-RANKS-SERVICE,BE,GAM,service,ranks.service,gamification/services/ranks.service.ts
OBJ-BE-GAM-SVC-USER-STATS-SERVICE,BE,GAM,service,user-stats.service,gamification/services/user-stats.service.ts
OBJ-BE-GAM-ENT-ACHIEVEMENT-CATEGORY-ENTITY,BE,GAM,entity,achievement-category.entity,gamification/entities/achievement-category.entity.ts
OBJ-BE-GAM-ENT-ACHIEVEMENT-ENTITY,BE,GAM,entity,achievement.entity,gamification/entities/achievement.entity.ts
OBJ-BE-GAM-ENT-ACTIVE-BOOST-ENTITY,BE,GAM,entity,active-boost.entity,gamification/entities/active-boost.entity.ts
OBJ-BE-GAM-ENT-COMODINES-INVENTORY-ENTITY,BE,GAM,entity,comodines-inventory.entity,gamification/entities/comodines-inventory.entity.ts
OBJ-BE-GAM-ENT-INVENTORY-TRANSACTION-ENTITY,BE,GAM,entity,inventory-transaction.entity,gamification/entities/inventory-transaction.entity.ts
OBJ-BE-GAM-ENT-LEADERBOARD-METADATA-ENTITY,BE,GAM,entity,leaderboard-metadata.entity,gamification/entities/leaderboard-metadata.entity.ts
OBJ-BE-GAM-ENT-MISSION-ENTITY,BE,GAM,entity,mission.entity,gamification/entities/mission.entity.ts
OBJ-BE-GAM-ENT-ML-COINS-TRANSACTION-ENTITY,BE,GAM,entity,ml-coins-transaction.entity,gamification/entities/ml-coins-transaction.entity.ts
OBJ-BE-GAM-ENT-USER-ACHIEVEMENT-ENTITY,BE,GAM,entity,user-achievement.entity,gamification/entities/user-achievement.entity.ts
OBJ-BE-GAM-ENT-USER-RANK-ENTITY,BE,GAM,entity,user-rank.entity,gamification/entities/user-rank.entity.ts
OBJ-BE-GAM-ENT-USER-STATS-ENTITY,BE,GAM,entity,user-stats.entity,gamification/entities/user-stats.entity.ts
